# Data printout from CCMC-simulation: version PD4D-1.3
# Data type:  TIE-GCM  ionosphere
# Run name:   Nick_Gross_071624_IT_1
# Missing data:          NaN
# Coordinate System: GEO
# Satellite Track: gracefo1_512972009515
# Output data: field with 1x7181=7181 elements
# Year Month Day Hour Min Sec    Lon    Lat    H            T_n        Vn_Lon        Vn_Lat        WN        rho(O2)        rho(O)        N2        rho(NO)        rho(N4S)        HE        N_e        T_e        T_i        TEC        N(O2+)        N(O+)        PHI        Vi_Lon        Vi_Lat        Vi_IP        DEN        QJOULE        HMF2        NMF2        Z        ZG        SIGMA_PED        SIGMA_HAL        NO_COOL        T_lbc        Vlbc_Lon        Vlbc_Lat        TN_lbc        VN,lbc_Lon        VN,lbc_Lat        NmF2        HmF2        
#  [year]  [month]  [day]  [h]  [m]  [s]  [deg]  [deg]  [km]  [K]  [m/s]  [m/s]  [m/s]  [mmr]  [mmr]  [mmr]  [mmr]  [mmr]  [mmr]  [cm-3]  [K]  [K]  [TECU]  [cm-3]  [cm-3]  [V]  [m/s]  [m/s]  [m/s]  [kg/m3]  [mW/kg]  [km]  [cm-3]  [km]  [km]  [S/m]  [S/m]  [mW/kg]  [K]  [m/s]  [m/s]  [K]  [m/s]  [m/s]  [cm-3]  [km]
2024  05  09  00  31   0.000     -111.63      46.050      472.87      1483.5      13.131      4.5293      2.3261   0.0024866     0.84271     0.15480  5.4795E-05    0.020789      0.0000  1.2535E+06      1675.2      1571.1      56.595      34.703  1.1554E+06     -1070.0     -7.3383     -16.290     -6.3810  2.9643E-12      1963.9      390.22  1.6917E+06      484.98      472.87  1.4471E-06  5.7528E-10      23.146      180.04     -20.637     -3.5137      180.03     -20.637     -3.5221  1.6966E+06      379.53
2024  05  09  00  32   0.000     -111.75      42.220      472.93      1479.4      15.376     -1.2948      2.2667   0.0023385     0.84967     0.14799  5.1090E-05    0.020835      0.0000  1.3412E+06      1623.5      1548.7      59.768      31.484  1.2403E+06     -980.08     -2.0965     -17.698     -7.5689  3.0133E-12      1533.0      388.54  1.8093E+06      484.88      472.93  1.6987E-06  7.1354E-10      22.024      180.83     -27.735     -1.9067      180.83     -27.736     -1.9181  1.8032E+06      380.63
2024  05  09  00  33   0.000     -111.88      38.390      473.03      1475.5      16.659     -5.9666      2.2170   0.0022176     0.85555     0.14223  4.8144E-05    0.020883      0.0000  1.4250E+06      1581.3      1528.7      62.691      28.868  1.3221E+06     -983.72      1.7240     -17.783     -8.4283  3.0517E-12      1163.2      387.54  1.9185E+06      484.83      473.03  1.9884E-06  8.8162E-10      21.074      181.75     -32.051     0.53086      181.75     -32.053     0.51666  1.9037E+06      377.00
2024  05  09  00  34   0.000     -112.03      34.570      473.15      1471.8      16.489     -9.5372      2.1921   0.0021207     0.86007     0.13781  4.5855E-05    0.020958      0.0000  1.5043E+06      1547.3      1511.3      65.299      26.798  1.4002E+06     -1038.3      3.8303     -16.764     -8.9294  3.0780E-12      875.33      387.58  2.0166E+06      484.81      473.16  2.3223E-06  1.0865E-09      20.268      182.84     -36.442      4.1962      182.84     -36.447      4.1793  1.9954E+06      368.02
2024  05  09  00  35   0.000     -112.18      30.740      473.30      1467.8      14.848     -12.185      2.1870   0.0020405     0.86357     0.13439  4.4014E-05    0.021063      0.0000  1.5881E+06      1517.5      1494.9      67.912      25.031  1.4834E+06     -1105.5      4.2638     -14.894     -9.0534  3.0937E-12      678.76      388.60  2.1154E+06      484.81      473.31  2.7192E-06  1.3409E-09      19.541      183.76     -39.080      8.1701      183.76     -39.086      8.1512  2.0849E+06      370.57
2024  05  09  00  36   0.000     -112.34      26.910      473.47      1462.7      11.708     -14.052      2.1601   0.0019718     0.86644     0.13158  4.2466E-05    0.021196      0.0000  1.6919E+06      1490.0      1478.2      71.091      23.389  1.5867E+06     -1155.9      2.8561     -12.282     -8.7184  3.0996E-12      590.34      390.76  2.2317E+06      484.85      473.47  3.2224E-06  1.6738E-09      18.838      184.55     -37.733      12.496      184.55     -37.739      12.476  2.1903E+06      382.56
2024  05  09  00  37   0.000     -112.51      23.080      473.66      1455.8      7.6764     -15.355      2.0988   0.0019091     0.86915     0.12894  4.1054E-05    0.021333      0.0000  1.8271E+06      1467.7      1462.9      75.237      21.785  1.7201E+06     -1166.9     0.33076     -9.2821     -7.9152  3.0967E-12      598.32      394.14  2.3815E+06      484.92      473.66  3.8770E-06  2.1201E-09      18.100      185.13     -34.777      15.492      185.13     -34.784      15.472  2.3272E+06      382.82
2024  05  09  00  38   0.000     -112.68      19.250      473.86      1447.1      3.3304     -16.252      2.0081   0.0018507     0.87187     0.12628  3.9734E-05    0.021434      0.0000  2.0121E+06      1451.2      1449.8      80.854      20.185  1.9004E+06     -1134.9     -2.4965     -6.2439     -6.6750  3.0849E-12      727.98      398.90  2.5942E+06      485.01      473.87  4.7546E-06  2.7333E-09      17.322      185.52     -31.544      17.047      185.52     -31.550      17.027  2.5167E+06      382.66
2024  05  09  00  39   0.000     -112.86      15.420      474.08      1437.4     -1.6588     -16.721      1.8668   0.0018001     0.87461     0.12359  3.8606E-05    0.021389      0.0000  2.2995E+06      1438.7      1438.4      88.732      18.569  2.1775E+06     -1059.2     -7.1607     -3.1762     -5.0367  3.0648E-12      1034.9      407.97  2.9000E+06      485.13      474.08  6.0468E-06  3.6495E-09      16.567      185.51     -25.254      16.718      185.51     -25.260      16.701  2.7963E+06      388.68
2024  05  09  00  40   0.000     -113.04      11.600      474.31      1427.5     -6.5341     -16.796      1.6807   0.0017660     0.87725     0.12098  3.7886E-05    0.020992      0.0000  2.7061E+06      1428.2      1428.1      97.598      17.089  2.5763E+06     -954.64     -11.310    -0.54457     -3.0865  3.0375E-12      1429.7      427.21  3.1742E+06      485.27      474.31  7.8828E-06  4.9650E-09      15.953      185.24     -19.524      13.870      185.25     -19.529      13.857  3.1004E+06      404.54
